GCP PSOE,"Your organization has multiple GKE clusters across different projects and wants centralized visibility into container threats, including cryptomining, privilege escalation, and malicious code execution. You have Security Command Center Premium tier enabled. Where should you navigate in the Google Cloud console to view a summary of the top threats affecting your GKE workloads grouped by severity and category?","Security Command Center Findings page, filtered by Container Threat Detection.","GKE Security Posture dashboard, in the Top threats pane.","GKE Workloads page, in the Security tab under each deployment.","Cloud Logging Logs Explorer, filtered by GKE cluster resource type.",2,"When Security Command Center Premium or Enterprise tier is activated, the GKE security posture dashboard shows the Top threats pane that summarizes threats affecting GKE workloads, grouped by severity and category. This pane displays threats such as cryptomining, privilege escalation, and malicious code execution detected by Container Threat Detection. Reference: https://cloud.google.com/kubernetes-engine/docs/concepts/about-security-posture-dashboard"
GCP PSOE,"Your organization uses Google Security Operations (SecOps) to monitor security telemetry from Google Cloud, AWS, and Azure environments. You need to identify threats across all three cloud providers using pre-built detection logic without developing custom rules. What should you do?",Create custom YARA-L rules that query each cloud provider's native API for real-time threat data.,Configure Security Command Center Event Threat Detection to automatically forward findings to all three cloud environments.,"Enable curated detections in the Cloud Threats category, which includes rule sets for Google Cloud, AWS, and Azure data sources.",Deploy Google SecOps forwarders in each cloud environment to enable automatic threat correlation.,3,"Curated detections are YARA-L rule sets maintained by Google Cloud Threat Intelligence (GCTI) that provide out-of-the-box threat detection for multi-cloud environments. The Cloud Threats category includes specific rule packs for AWS and Azure alongside Google Cloud, enabling cross-environment threat detection without custom rule development. Reference: https://cloud.google.com/chronicle/docs/detection/use-curated-detections"
GCP PSOE,You need to create an alerting policy that monitors the availability of a security API gateway using the uptime_check/check_passed metric. The alert should trigger when the service is unavailable and notify the security operations team. Which metric configuration should you use?,Configure a metric-threshold condition using monitoring.googleapis.com/uptime_check/check_passed with a threshold of 1 and trigger when the metric value is below the threshold.,Configure a metric-absence condition using monitoring.googleapis.com/uptime_check/request_latency to detect when no latency data is reported.,Configure a metric-threshold condition using compute.googleapis.com/instance/uptime to monitor the cumulative time the service has been running.,Configure a log-based alerting policy that monitors Cloud Logging for uptime check failure log entries written when checks fail.,1,"The uptime_check/check_passed metric returns a boolean value (1 for success, 0 for failure). Configuring the threshold condition to trigger when the value is below 1 will detect when checks fail. This is the appropriate metric for monitoring uptime check results. Reference: https://cloud.google.com/monitoring/charts/uptime-charts"
GCP PSOE,Your incident response team is investigating a potential supply chain compromise. You need to integrate container vulnerability findings from Artifact Registry with your centralized security monitoring to correlate container vulnerabilities with other security events. The solution must surface HIGH and CRITICAL severity vulnerabilities in deployed container images. What should you configure?,Configure Artifact Analysis to send Pub/Sub notifications for all vulnerabilities and create a Cloud Function to forward findings to Security Command Center.,Enable advanced vulnerability insights on each GKE cluster and view findings in the GKE security posture dashboard.,Export Artifact Analysis findings to BigQuery and create custom dashboards to correlate vulnerabilities with Security Command Center findings.,Enable the Container Scanning API in your project and use Security Command Center to view Artifact Registry vulnerability assessment findings for deployed container images.,4,"When the Container Scanning API is enabled, Artifact Analysis scans container images in Artifact Registry and Security Command Center aggregates vulnerability findings for deployed container images. SCC surfaces HIGH and CRITICAL severity findings, allowing correlation with other security events in a centralized dashboard. Reference: https://cloud.google.com/security-command-center/docs/concepts-security-sources"
GCP PSOE,"You are implementing an automated notification system that sends Security Command Center findings to multiple destinations including email, Slack, and your SIEM. The notifications should be triggered when Security Health Analytics detects critical or high-severity misconfigurations. What is the most scalable approach to implement this multi-destination notification workflow?","Create a single NotificationConfig that publishes findings to one Pub/Sub topic, then create multiple Pub/Sub subscriptions with separate Cloud Functions for each notification destination.","Deploy a single Cloud Function that receives Pub/Sub messages and sequentially calls each notification API (email, Slack, SIEM) within the same function execution.","Create separate NotificationConfig resources for each destination, each with its own Pub/Sub topic and Cloud Function to handle the specific notification channel.",Configure continuous exports to BigQuery and create scheduled queries that poll for new findings and trigger separate Cloud Functions for each notification destination.,1,"Pub/Sub supports multiple subscriptions to a single topic, allowing each subscriber to receive a copy of every message. This fan-out pattern enables scalable delivery to multiple destinations without duplicating the NotificationConfig. Reference: https://cloud.google.com/security-command-center/docs/how-to-enable-real-time-notifications"
GCP PSOE,"Your security team has detected a potential malware incident in your GKE production cluster. A critical hotfix container image needs to be deployed immediately to contain the threat, but the image has not yet completed the standard attestation process required by your Binary Authorization policy. You need to deploy this image immediately while maintaining an audit trail for post-incident review. What should you do?","Modify the Binary Authorization policy to 'Allow All Images' mode, deploy the hotfix, then change the policy back to require attestations after deployment.","Add the image-policy.k8s.io/break-glass label to the Pod specification and deploy the image, then review breakglass events in Cloud Audit Logs after containment.","Temporarily disable Binary Authorization on the GKE cluster, deploy the hotfix image, then re-enable Binary Authorization after the deployment completes.","Create a manual attestation for the hotfix image using a temporary key pair, deploy the image, then delete the attestation and attestor after the incident.",2,Binary Authorization's breakglass feature allows pod creation even if images violate policy by adding the break-glass label. This creates audit log entries containing breakglass annotations that the incident response team can review later. This is the intended emergency mechanism for bypassing policy enforcement while maintaining accountability. Reference: https://cloud.google.com/binary-authorization/docs/using-breakglass
GCP PSOE,"You are implementing least privilege for service accounts across your Google Cloud organization. After running workloads for several months, you want to identify service accounts with excess permissions and reduce their access to only what is needed. What should you do?","Use IAM Recommender to review policy insights that compare permissions granted versus permissions used over the last 90 days, then apply the suggested role replacements or revocations for service accounts with unused permissions.","Configure Cloud Audit Logs to capture all Data Access events, analyze logs to identify which APIs each service account calls, and manually create custom roles containing only those specific permissions.","Enable Activity Analyzer to identify unused service accounts, disable all service accounts that have not been used in the last 30 days, and delete them after a 90-day waiting period.","Export IAM policies to BigQuery, run SQL queries to identify service accounts with basic roles like Editor or Owner, and replace all basic roles with the Viewer role to reduce permissions.",1,"IAM Recommender uses machine learning to analyze permission usage over the last 90 days and generates policy insights highlighting excess permissions. It suggests specific role changes such as replacing broad roles with more narrow predefined roles or revoking unused roles entirely, helping you achieve least privilege. Reference: https://cloud.google.com/policy-intelligence/docs/role-recommendations-overview"
GCP PSOE,Your organization wants to correlate Cloud Audit Logs with an external threat intelligence feed containing known malicious IP addresses. The threat intel data is updated hourly and stored in a BigQuery table. You need to design a solution that enables analysts to query logs enriched with threat context at scale using standard SQL. What should you do?,"Create an aggregated sink to route Cloud Audit Logs to a BigQuery dataset, then write SQL queries that JOIN the log table with the threat intelligence table on IP address fields.","Export logs to Cloud Storage, load them into BigQuery using scheduled batch jobs, and configure BigQuery materialized views that automatically join with threat intelligence data.",Use Cloud Logging Log Analytics with the linked BigQuery dataset feature and create a Pub/Sub subscriber that enriches logs before they are stored.,Configure Event Threat Detection custom modules to automatically correlate Cloud Audit Logs with the external threat intelligence feed stored in BigQuery.,1,"Routing logs to BigQuery via sinks enables direct SQL querying, and BigQuery JOINs allow you to correlate log data with threat intelligence tables at scale. This approach supports standard SQL operations for enrichment and is the recommended pattern for log correlation with threat indicators. Reference: https://cloud.google.com/logging/docs/export/bigquery"
GCP PSOE,"You are conducting a threat hunt in Google Security Operations (SecOps) and need to identify file hashes in your environment that have been flagged as malicious by multiple antivirus engines. You want to leverage threat intelligence that aggregates scan results from dozens of security vendors and provides relationship data between files, domains, and IP addresses. Which integration should you use to enrich file hash entities with this comprehensive threat intelligence?",Configure the VirusTotal v3 integration and use the Enrich Hash action to retrieve multi-vendor scan results and relationship data for file hashes.,Use the Google Cloud Threat Intelligence (GCTI) integration to query file hash reputation from the GCTI curated database.,Enable Applied Threat Intelligence and filter IOC matches using the Mandiant source to view file hash enrichment data.,Configure the Safe Browsing integration to retrieve file hash threat intelligence and malware scan results from Google's threat database.,1,"The VirusTotal v3 integration in Google SecOps provides the Enrich Hash action that retrieves scan results from multiple antivirus engines and includes relationship data between files, domains, IP addresses, and URLs. The integration supports MD5, SHA-1, and SHA-256 hashes and returns comprehensive threat intelligence. Reference: https://cloud.google.com/chronicle/docs/soar/marketplace-integrations/virustotal-v3"
GCP PSOE,Your organization detected a potential privilege escalation incident where an attacker may have granted sensitive IAM roles to external accounts. You need to identify all SetIamPolicy operations that added role bindings containing non-organizational members in the last 7 days. Which log source and query approach should you use?,Query Admin Activity audit logs filtering for methodName containing SetIamPolicy and examine the policyDelta.bindingDeltas field for ADD actions with external members.,Query Data Access audit logs filtering for GetIamPolicy operations to retrieve the current policy state and identify external members.,Query Policy Denied audit logs to identify failed privilege escalation attempts that were blocked by deny policies.,Query System Event audit logs filtering for IAM policy modifications initiated by Google Cloud automated processes.,1,"Admin Activity audit logs always record SetIamPolicy operations and cannot be disabled. The policyDelta.bindingDeltas field within serviceData shows the specific changes made, including the action (ADD/REMOVE), role, and member. This allows identification of role grants to external principals. Reference: https://cloud.google.com/logging/docs/analyze/analyze-audit-logs"
GCP PSOE,Your organization is planning to deploy VPC Service Controls to protect sensitive BigQuery datasets and Cloud Storage buckets. You want to test the perimeter configuration before blocking production traffic while monitoring for any potential violations. What should you do?,Create the service perimeter in enforced mode and configure ingress rules to allow all traffic during the testing period.,Create the service perimeter in enforced mode and use Cloud Monitoring alerts to notify you when access is blocked.,Create a perimeter bridge between the test and production environments to validate the configuration before enforcement.,Create the service perimeter in dry run mode and monitor the violation logs in Cloud Logging before enforcing the perimeter.,4,Dry run mode logs violations as though the perimeters are enforced but does not prevent access to restricted services. This allows you to identify any issues caused by your service perimeters before moving to enforced mode. The violation data can be analyzed in Cloud Logging using the cloudaudit_googleapis_com_policy log. Reference: https://cloud.google.com/vpc-service-controls/docs/dry-run-mode
GCP PSOE,Your organization is implementing a security log archival solution. You need to create an aggregated sink at the organization level to route all Cloud Audit Logs from all projects to a centralized Cloud Storage bucket for long-term retention and forensic analysis. The security team requires logs to remain accessible in individual projects. Which sink configuration should you use?,Create a non-intercepting aggregated sink with the --include-children flag and a filter for logName:cloudaudit.googleapis.com,Create project-level sinks in each project with identical Cloud Storage bucket destinations and audit log filters.,Create an intercepting aggregated sink with the --include-children flag and a filter for logName:cloudaudit.googleapis.com,Create a non-intercepting aggregated sink without the --include-children flag and a filter for logName:cloudaudit.googleapis.com,1,A non-intercepting aggregated sink routes log entries to the destination while also allowing the log entries to continue being processed by sinks in child resources. The --include-children flag ensures logs from all child projects and folders are included. This maintains visibility in individual projects while centralizing logs. Reference: https://cloud.google.com/logging/docs/export/aggregated_sinks
GCP PSOE,Your organization wants to automate threat hunting by triggering a Cloud Function whenever new threat intelligence IOCs are published to a Pub/Sub topic. The function should call the Google SecOps API to initiate a retrohunt against historical logs. You need to configure the trigger mechanism for the Cloud Function. What should you do?,Configure Cloud Scheduler to poll the Pub/Sub topic every minute and invoke the Cloud Function via HTTP when new messages exist.,Deploy the Cloud Function with a direct Pub/Sub subscription using pull-based message consumption within the function code.,Deploy an event-driven Cloud Function with an Eventarc trigger configured to subscribe to the Pub/Sub topic containing threat intelligence updates.,Create an HTTP-triggered Cloud Function and configure the threat intelligence publisher to directly call the function's HTTPS endpoint with IOC data.,3,"Eventarc is Google's implementation of the CloudEvents spec and is required for triggering event-driven Cloud Functions in response to Pub/Sub messages. This provides a serverless, scalable mechanism to automatically invoke the function whenever new IOCs are published. Reference: https://cloud.google.com/functions/docs/calling/pubsub"
GCP PSOE,Your organization recently received threat intelligence about a new malware campaign. You want to search your Google Security Operations (SecOps) historical logs for any past evidence of the campaign's IOCs that may have been missed before the intelligence was available. What should you do?,Enable Applied Threat Intelligence and wait for automatic historical matching of the new campaign indicators.,Export all historical logs to BigQuery and run SQL queries to search for IOC matches across the exported data.,"Create a YARA-L detection rule that matches the IOCs, then run a retrohunt against your historical event data for the desired time range.",Submit a support request to Google to manually search your historical data for the specific IOCs from the threat intelligence report.,3,Retrohunts allow you to run a rule against historical data to detect matches that occurred before the rule was created or enabled. This is the recommended approach for searching historical logs for newly identified IOCs. Reference: https://cloud.google.com/chronicle/docs/detection/run-rule-historical-data
GCP PSOE,"Detection engineering""Your organization has deployed Event Threat Detection custom modules at the organization level to detect connections to a list of threat intelligence IOC IP addresses. A new business unit is onboarded as a folder under your organization. How will the custom modules apply to projects within this new folder?","The custom modules only apply to projects that existed when the modules were created, and new projects require separate module creation.","The custom modules are automatically inherited by the new folder and all projects within it, and findings will be generated at the project level where the threat is detected.",The findings generated in the new folder will count against the parent organization's hourly finding quota rather than the folder's quota.,The custom modules must be manually enabled for the new folder by an administrator with the securitycenter.eventThreatDetectionCustomModules.update permission.,2,"Event Threat Detection custom modules created at the organization level are automatically inherited by all descendant folders and projects. When threats are detected in child projects, findings are generated and attributed to those projects while following the detection rules defined at the organization level. This inheritance model ensures consistent security coverage across the organization. Reference: https://cloud.google.com/security-command-center/docs/use-custom-modules-etd"
GCP PSOE,You have configured a log sink to route security-relevant logs to a BigQuery dataset for threat hunting. The dataset receives approximately 500 GB of new log data daily. Security analysts report that queries against this data are slow and expensive. You need to optimize query performance and cost when analysts search for specific time ranges of log data. What should you configure?,Create materialized views on the log data that pre-aggregate common threat hunting queries.,"Configure the log sink to use partitioned tables based on timestamp, and require analysts to include partition filters in their queries.",Configure the log sink to use date-sharded tables and instruct analysts to use table wildcards in their queries.,Enable BigQuery BI Engine acceleration on the dataset to cache frequently queried data.,2,"When routing logs to BigQuery, you can use partitioned tables that partition data based on log entry timestamps. Partition pruning eliminates unnecessary partitions from query scans, significantly reducing both query time and cost. Requiring partition filters ensures analysts include time-based filters to leverage this optimization. Reference: https://cloud.google.com/logging/docs/export/bigquery"
GCP PSOE,Your organization has multiple playbooks in Google Security Operations (SecOps) SOAR that share a common workflow for sending notification emails and assigning cases to analysts. You want to reduce maintenance overhead and ensure that updates to this common workflow are automatically applied across all playbooks. What should you do?,Duplicate the workflow steps in each playbook and create a scheduled job to synchronize changes across playbooks.,Create a custom integration in the IDE that implements the notification and assignment logic as a single action.,Export the common workflow as a Use Case from Content Hub and import it into each playbook when updates are needed.,Create a playbook block containing the shared workflow and incorporate it into each playbook that requires it.,4,"Playbook blocks are reusable mini-playbooks that let you implement common workflows across multiple playbooks. Any edit or change to a block automatically affects all playbooks that incorporate it, making maintenance and improvements efficient. Blocks can also return output values to support dynamic interaction. Reference: https://cloud.google.com/chronicle/docs/soar/respond/working-with-playbooks/working-with-playbook-blocks"
GCP PSOE,Your organization has deployed several public-facing web applications on Google Kubernetes Engine (GKE). The security team wants to implement automated vulnerability scanning that detects OWASP Top 10 vulnerabilities without requiring manual configuration for each application. The team needs centralized visibility of findings across all projects. What should you do?,Enable Web Security Scanner managed scans in Security Command Center at the organization level.,Enable Security Health Analytics to scan web applications for code vulnerabilities.,Configure custom scans in Web Security Scanner for each GKE application individually.,Deploy Cloud IDS with managed detection signatures for web application vulnerability detection.,1,"Managed scans are configured and managed by Security Command Center, automatically run weekly to detect and scan public web endpoints across all projects without requiring individual project team involvement. Findings are automatically available in the Security Command Center Vulnerabilities page for centralized visibility. Reference: https://cloud.google.com/security-command-center/docs/concepts-web-security-scanner-overview"
GCP PSOE,A security analyst on your team is investigating a potential compromise and needs to query 90 days of VPC Flow Logs stored in Cloud Logging to identify connections to IP addresses from a newly published threat intelligence report. The analyst wants to use SQL queries for the investigation. What should you do?,Create an aggregated sink at the organization level to route VPC Flow Logs to a BigQuery dataset and wait for logs to accumulate before querying.,Export the VPC Flow Logs from Cloud Logging to Cloud Storage in JSON format and create an external BigQuery table pointing to the exported files.,Use the Logs Explorer with the Logging query language to filter logs using IN operators with the list of IP addresses from the threat intelligence report.,Upgrade the log bucket storing VPC Flow Logs to use Log Analytics and create a linked BigQuery dataset to enable SQL querying of historical log data.,4,"Upgrading a log bucket to use Log Analytics enables SQL-based querying of logs, and creating a linked BigQuery dataset allows the analyst to use BigQuery SQL capabilities including JOIN operations with external IOC tables. This provides the most direct path to querying 90 days of historical logs with SQL. Reference: https://cloud.google.com/logging/docs/log-analytics"
GCP PSOE,Your security operations team wants to build a comprehensive security posture dashboard using Looker Studio that visualizes Security Command Center findings over time with the ability to drill down by finding category and affected resource. What is the recommended architecture?,Use the Looker Studio SCC connector to directly query Security Command Center findings without intermediate storage.,Export SCC findings to Cloud Storage in CSV format and configure Looker Studio to read from the Cloud Storage bucket for visualization.,Configure Cloud Monitoring to collect SCC metrics and use the Looker Studio Cloud Monitoring connector to build the dashboard with finding visualizations.,"Configure a BigQuery continuous export for SCC findings, then connect Looker Studio directly to the BigQuery dataset to create interactive visualizations with drill-down capabilities.",4,"BigQuery continuous export captures SCC findings in real-time with full finding details including category and resource information. Looker Studio can connect directly to BigQuery as a data source, enabling interactive visualizations with filters and drill-down capabilities by category and resource. Reference: https://cloud.google.com/security-command-center/docs/how-to-analyze-findings-in-big-query"
GCP PSOE,You want to verify that Container Threat Detection is properly configured and generating findings for your GKE cluster. You need to intentionally trigger a detector to test the configuration. What is the recommended approach to generate a test finding while avoiding noise reduction filters?,Deploy a test container with a name prefixed with 'ktd-test' and execute a suspicious action such as loading an unexpected library.,Create a container and wait 24 hours before executing suspicious actions to ensure the noise reduction window has expired.,Use the Security Command Center API to manually create synthetic findings that simulate Container Threat Detection alerts.,Disable Container Threat Detection's noise reduction settings in Security Command Center before running tests.,1,Container Threat Detection temporarily filters certain findings like Added Library Loaded when containers are first created to reduce noise. Prefixing container or pod names with 'ktd-test' bypasses this filter and allows you to see all findings during testing. Reference: https://cloud.google.com/security-command-center/docs/how-to-test-container-threat-detection
GCP PSOE,"Your security team wants to detect OWASP Top Ten vulnerabilities in web applications running on App Engine, GKE, and Compute Engine across your organization. You need to implement vulnerability detection with minimal operational overhead and ensure findings are centralized for all projects. What should you do?",Configure Web Security Scanner custom scans for each project and export results to a BigQuery dataset for consolidation.,Deploy third-party DAST tools on each application and integrate with Cloud Logging for centralized visibility.,Create scheduled Cloud Functions that invoke the Web Security Scanner API for each project's web applications.,Enable Web Security Scanner managed scans in Security Command Center at the organization level.,4,"Managed scans are configured and managed by Security Command Center, automatically run weekly to detect and scan public web endpoints, and findings are centralized in Security Command Center. Organization-level activation allows centralized management without involving individual project teams. Reference: https://cloud.google.com/security-command-center/docs/concepts-web-security-scanner-overview"
GCP PSOE,Your organization is onboarding Google Security Operations (SecOps) SOAR and needs to configure playbooks that automatically trigger when specific types of alerts are ingested from your email security product. The alerts are identified by a Rule Generator field value of 'Email_Phishing_Detected' configured in your connector. You want the playbook to only process these specific phishing alerts. How should you configure the playbook trigger?,Set the playbook trigger type to All and add a condition flow as the first step to filter out alerts that don't match the Email_Phishing_Detected rule generator value.,Configure the playbook priority to 1 and set environment restrictions to only allow the playbook to run in the environment where the email security connector is configured.,Configure the playbook trigger type as Alert Type and specify the Rule Generator value 'Email_Phishing_Detected' to match alerts from the email security connector.,Create a webhook that pre-filters alerts before ingestion and only sends Email_Phishing_Detected alerts to Google SecOps SOAR for playbook processing.,3,"The Alert Type trigger fires based on the Rule Generator field, which is configured during connector setup. This allows playbooks to target specific alert types from specific sources, ensuring only phishing alerts from the email security product trigger this playbook. Reference: https://cloud.google.com/chronicle/docs/soar/respond/working-with-playbooks/using-triggers-in-playbooks"
GCP PSOE,"A security analyst needs to be notified immediately whenever a specific security-critical event appears in audit logs, such as a human user accessing the security key of a service account. The analyst wants to extract specific information from the triggering log entry to include in the notification. Which alerting approach should you recommend?",Create a Pub/Sub subscription to the audit log topic and configure Cloud Functions to parse and send notifications when matching events occur.,Create a counter-type log-based metric with a filter for the security event and configure a metric-based alerting policy with a threshold of 1.,Create a log-based alerting policy in Logs Explorer that matches the specific audit log event pattern and configure documentation to include relevant information.,Configure a SQL-based alerting policy in Log Analytics to query for the security event and extract the required fields.,3,"Log-based alerting policies are designed to notify you when a specific message appears in your logs and can extract data from the log entry that triggers the alert. They are useful for catching security-related events that are rare and important, where you want to know immediately that something occurred. Reference: https://cloud.google.com/logging/docs/alerting/log-based-alerts"
GCP PSOE,You are investigating a potential command and control (C2) communication incident. You have Cloud DNS query logs and VPC Flow Logs stored in a Cloud Logging bucket that has been upgraded to use Log Analytics with a linked BigQuery dataset. You need to correlate DNS queries to suspicious domains with subsequent network connections to the resolved IP addresses. Which approach should you use?,Export both log types to separate Cloud Storage buckets and use Cloud Dataflow to perform the correlation analysis.,"Create separate log-based metrics for DNS queries and VPC Flow Logs, then use Cloud Monitoring to correlate the metrics using cross-metric filtering.","Use BigQuery SQL to join the Cloud DNS query logs with VPC Flow Logs using the resolved IP address field, filtering by a time window after the DNS resolution.",Query the Logs Explorer with a filter that matches both dns.googleapis.com and compute.googleapis.com log types in the same query expression.,3,"BigQuery SQL allows you to join multiple log sources using common fields. By joining DNS query logs with VPC Flow Logs on the resolved IP address and applying time-based filtering, you can correlate DNS resolutions with subsequent network activity. This approach leverages the linked dataset capability to query log data with full SQL syntax. Reference: https://cloud.google.com/logging/docs/analyze/query-linked-dataset"
GCP PSOE,You are configuring Sensitive Data Protection to profile Cloud SQL databases across your organization and want to ensure that data profiles generate findings in Security Command Center for visibility into sensitive data locations. Your organization has Security Command Center Premium activated at the organization level. What must you configure to enable this integration?,"Add Cloud Data Loss Prevention as an integrated service in Security Command Center, then enable the 'Publish to Security Command Center' option in your discovery scan configuration.",Configure a Pub/Sub topic action in your discovery scan configuration and create a Cloud Function that transforms DLP profile notifications into SCC findings using the SCC API.,Enable the Security Command Center API in each project containing Cloud SQL databases and grant the DLP service agent the Security Center Findings Editor role.,Create an inspection job for each Cloud SQL database with the PublishSummaryToCscc action enabled to send findings summary to Security Command Center.,1,Security Command Center integration requires both enabling DLP as an integrated service and configuring the discovery scan to publish profiles. This allows data profiles to generate observation findings in SCC showing data sensitivity and risk levels. Reference: https://cloud.google.com/dlp/docs/send-profiles-to-scc
GCP PSOE,"A new advanced persistent threat (APT) campaign has been publicly disclosed with associated IOCs including IP addresses, domains, and file hashes. You need to determine if your organization was affected by this campaign using Google Security Operations (SecOps). The campaign may have been active in your environment for several months before detection. What is the most effective approach?",Submit all suspicious IOCs to VirusTotal for analysis and wait for the automatic alert generation in Google SecOps.,Enable real-time IOC matching and wait 30 days for the new indicators to be detected across future events.,Create YARA-L detection rules containing the IOCs and run a retrohunt against your historical data to identify any past matches.,Configure Google Threat Intelligence to scan your Cloud Storage buckets for the disclosed file hashes.,3,Google SecOps retrohunt functionality allows you to run detection rules against historical log data to identify matches that occurred before the threat was known. This is essential for threat hunting when investigating newly disclosed campaigns that may have been active in your environment. Reference: https://cloud.google.com/chronicle/docs/detection/run-rule-historical-data
GCP PSOE,Your organization's SOC team needs to implement a workflow in Google Security Operations (SecOps) SOAR where Tier 1 analysts complete initial triage and then escalate cases requiring further evaluation to Tier 2 analysts. You need to configure the playbook to automatically update the case stage when escalation occurs. Which case stage transition should the playbook execute to indicate that the case requires next-tier evaluation?,Change the case stage from Triage to Assessment.,Change the case stage from Triage to Incident.,Change the case stage from Triage to Investigation.,Change the case stage from Triage to Improvement.,1,"The Assessment stage specifically indicates that the case has been escalated to the next tier for evaluation, which is the exact purpose of Tier 1 to Tier 2 handoff. Triage is the default initial phase when the case is created, and Assessment represents the escalation point in the SOC workflow. Reference: https://cloud.google.com/chronicle/docs/soar/investigate/working-with-cases/what-actions-can-you-take-on-a-case"
GCP PSOE,Your organization uses Cloud Logging sinks to export security logs to a BigQuery dataset with date-sharded tables. The security team reports that querying logs across multiple days is slow and expensive. You want to improve query performance while maintaining the existing log data. What should you do?,"Create a new sink configured with partitioned tables enabled, and use BigQuery to query across both the historical date-sharded tables and new partitioned tables.",Enable Log Analytics on a logging bucket and create a linked BigQuery dataset to replace the existing sink destination.,Delete the existing date-sharded tables and recreate the sink with partitioned tables to ensure consistent table format.,"Modify the existing sink to switch from date-sharded tables to partitioned tables, which will automatically convert the historical data.",1,You can create a new sink with partitioned tables for improved performance going forward. Partitioned tables are recommended over date-sharded tables because BigQuery doesn't need to maintain separate schema and metadata for each partition. Historical data in date-sharded tables remains accessible and can be queried alongside new partitioned data. Reference: https://cloud.google.com/bigquery/docs/partitioned-tables
GCP PSOE,Your organization activated Security Command Center Premium before June 2023 and has been using the Security Command Center API for asset management. You need to maintain visibility into your cloud assets going forward. What action should you take to ensure continued access to asset inventory capabilities?,Migrate asset management operations from the Security Command Center API and gcloud scc assets commands to Cloud Asset Inventory.,Continue using Security Command Center Assets API and periodically update your API client libraries to maintain compatibility.,Upgrade to Security Command Center Enterprise tier to gain access to enhanced asset discovery features that replace the deprecated API.,Enable asset discovery in Security Command Center organization settings using the enable_asset_discovery flag to restore the deprecated functionality.,1,"Security Command Center asset management features were deprecated for organizations that activated SCC before June 20, 2023, and these features were removed on June 20, 2024. Cloud Asset Inventory is the recommended replacement for asset discovery and management, and it discovers assets automatically without requiring additional configuration. Reference: https://cloud.google.com/security-command-center/docs/how-to-api-configure-asset-discovery"
GCP PSOE,"Your organization has activated Security Command Center Premium tier at the organization level. You want to enable Event Threat Detection to monitor for network-based threats such as outgoing DDoS and malicious IP connections. However, you are constrained by budget and want to minimize additional logging costs while still enabling Event Threat Detection capabilities. What should you do?",Configure Cloud NAT logging as a substitute for VPC Flow Logs to reduce costs while maintaining full ETD network threat detection capabilities.,Enable VPC Flow Logs on all subnets and configure them to sample at 100% to ensure Event Threat Detection has complete network visibility.,"Enable Event Threat Detection without enabling VPC Flow Logs, as ETD can analyze an independent, internal stream of VPC flow data for network threat detection.","Disable Event Threat Detection and instead use Cloud IDS, which does not require VPC Flow Logs for network threat detection.",3,"Event Threat Detection can use foundational data sources to detect network threats without requiring you to enable VPC Flow Logs. When VPC Flow Logs are not enabled, ETD analyzes an independent, duplicate, and internal stream of VPC flow data. This approach minimizes logging costs while still providing network threat detection capabilities. Reference: https://cloud.google.com/security-command-center/docs/concepts-event-threat-detection-overview"
GCP PSOE,Your organization is configuring Event Threat Detection and needs to understand which log sources are automatically monitored without additional configuration. A security engineer asks which audit logs Event Threat Detection scans by default. Which statement about Event Threat Detection log monitoring is correct?,Admin Activity audit logs are always written and automatically scanned by Event Threat Detection without additional configuration.,All Cloud Audit Logs including Data Access logs are enabled and scanned by default when Event Threat Detection is activated.,VPC Flow Logs are automatically enabled across all VPCs when Event Threat Detection is activated in Security Command Center.,Google Workspace logs are automatically ingested when Security Command Center is activated at the project level.,1,"Admin Activity audit logs are always written and cannot be configured or disabled. Event Threat Detection automatically scans these logs. However, some other log types that Event Threat Detection can scan are turned off by default and may need to be enabled for comprehensive threat detection. Reference: https://cloud.google.com/security-command-center/docs/concepts-event-threat-detection-overview"
GCP PSOE,You recently enabled Container Threat Detection on a new GKE cluster in your organization. Your security analyst reports that no findings are being generated even though test activities were performed immediately after enablement. What is the most likely reason for this behavior?,The GKE cluster is running on an unsupported node operating system that is not compatible with Container Threat Detection.,Event Threat Detection must be enabled before Container Threat Detection can generate findings in Security Command Center.,The Container Threat Detection DaemonSet failed to deploy because the cluster lacks the required IAM service agent role.,Container Threat Detection has an activation latency of 3.5 hours for newly onboarded organizations or projects before findings can be generated.,4,"Container Threat Detection has documented activation latency of 3.5 hours for newly onboarded organizations or projects. This means findings may not appear immediately after enablement, and security teams should account for this delay during initial testing. Reference: https://cloud.google.com/security-command-center/docs/how-to-use-container-threat-detection"
