GCP PSOE,Your security team needs to verify how organization policies are being applied across the resource hierarchy for a specific project. They want to see the combined effect of all inherited and locally-set policies for the constraints/gcp.resourceLocations constraint. Which gcloud command should they use?,gcloud resource-manager org-policies list --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --effective --project=PROJECT_ID,gcloud policy-intelligence analyze --org-policy=constraints/gcp.resourceLocations --project=PROJECT_ID,3,The --effective flag returns the organization policy as it is evaluated at that point in the resource hierarchy with inheritance included. This shows the result of merging policies in the resource hierarchy and evaluating conditions. Reference: https://cloud.google.com/resource-manager/docs/organization-policy/using-constraints
GCP PSOE,"Your organization wants to establish an identity behavior baseline to detect anomalous authentication patterns. You need to collect Cloud Identity logs that track user sign-in events, including failed logins and suspicious login attempts from unfamiliar IP addresses. Which Cloud Identity audit log type should you prioritize for this use case?","Admin Audit logs, because they track all administrative actions including user authentication events and configuration changes.","OAuth Token Audit logs, because they record all user authentication tokens issued across the organization.","Login Audit logs, because they track user sign-in events including Failed Login and Suspicious Login events.","Enterprise Groups Audit logs, because they provide visibility into group membership changes that affect user access.",3,"Login Audit logs specifically track user authentication events such as sign-ins, failed logins, and suspicious login attempts from unfamiliar IP addresses. These logs are essential for establishing user authentication baselines and detecting anomalous sign-in behavior. Reference: https://cloud.google.com/logging/docs/audit/gsuite-audit-logging"
GCP PSOE,Your security team needs to perform advanced SQL-like queries on Cloud Asset Inventory data to identify all Cloud Storage buckets with specific IAM configurations across the organization. You have Security Command Center Premium tier and want to enable this capability in the Google Cloud console. What should you do?,Access the Asset query tab in the Asset Inventory page of the Google Cloud console to run SQL queries against your asset metadata.,Use the gcloud asset search-all-resources command with a SQL WHERE clause to filter Cloud Storage buckets by IAM configuration.,Export all IAM_POLICY content type data to Cloud Storage and then import it into BigQuery for SQL analysis.,Configure Security Command Center findings to generate a report of Cloud Storage buckets with IAM anomalies.,1,The Asset query tab in the Asset Inventory page allows users with Security Command Center Premium or Enterprise tier to perform SQL-like queries on asset metadata using BigQuery SQL. This feature enables complex queries for security analysis and asset discovery. Reference: https://cloud.google.com/asset-inventory/docs/query-assets-with-sql
GCP PSOE,A security analyst is investigating IAM-based attacks and needs to determine which service accounts in the organization have permissions that could allow privilege escalation through lateral movement to other projects. Which Google Cloud tool provides insights specifically designed to identify these cross-project impersonation risks?,"Use Policy Intelligence lateral movement insights, which identify roles allowing a service account in one project to impersonate a service account in another project.",Query Admin Activity audit logs for all SetIamPolicy operations and manually analyze bindings containing iam.serviceAccounts.actAs permissions.,Use IAM Policy Analyzer to query for service accounts with the iam.serviceAccountTokenCreator role across all projects.,Use Security Health Analytics to scan for over-privileged service accounts that could be exploited for lateral movement.,1,Policy Intelligence provides lateral movement insights that are specifically designed to identify service accounts with cross-project impersonation capabilities. These insights help security teams understand which service accounts could be used for lateral movement attacks between projects. Reference: https://cloud.google.com/policy-intelligence/docs/overview
GCP PSOE,"Your organization uses Security Command Center Premium and needs to detect when Cloud SQL instances are provisioned in unauthorized regions, which is not covered by the built-in Security Health Analytics detectors. Your detection must support both real-time and batch scanning modes. What should you do?",Deploy a Cloud Run function triggered by Pub/Sub notifications from Cloud Asset Inventory to generate custom findings for unauthorized regions.,Create an Event Threat Detection custom module using a JSON template to monitor Cloud Logging for Cloud SQL provisioning events in unauthorized regions.,Create a Security Health Analytics custom module using YAML with CEL expressions that evaluates Cloud SQL instance region properties against your approved list.,Configure a security posture policy set with organization policy constraints that prevent Cloud SQL provisioning in unauthorized regions.,3,"Security Health Analytics custom modules support custom detection logic using YAML and CEL expressions. Custom modules run alongside built-in detectors in both real-time and batch scan modes, triggering scans when an asset's configuration changes or during daily batch scans. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-sha-overview"
GCP PSOE,Your organization wants to implement comprehensive threat hunting capabilities to detect suspicious data access patterns in Google Cloud Storage. You discover that only Admin Activity audit logs are currently available for analysis. What must you do to enable visibility into which users are reading or modifying object data in your storage buckets?,Create a custom log sink to route all Cloud Storage API calls from VPC Flow Logs to a dedicated analytics-enabled log bucket for investigation.,Configure Organization Policy constraints to enforce logging of all storage operations and rely on Policy Denied logs to capture any access violations.,Modify the _Required bucket retention settings to extend log storage duration and wait for Cloud Storage to automatically generate data access entries.,Enable Data Access audit logs for Cloud Storage by configuring the audit log settings to include DATA_READ and DATA_WRITE log types for the storage.googleapis.com service.,4,"Data Access audit logs are disabled by default (except for BigQuery) and must be explicitly enabled. To detect suspicious data access patterns involving reads and writes to Cloud Storage objects, you need to enable the DATA_READ and DATA_WRITE audit log types for the storage service. Reference: https://cloud.google.com/storage/docs/audit-logging"
GCP PSOE,Your organization recently activated Security Command Center Premium at the project level and enabled both Event Threat Detection and Container Threat Detection. You want to export findings from both services to Cloud Logging for integration with your existing log analysis pipeline. What should you consider about this configuration?,"Container Threat Detection supports Cloud Logging exports at the project level, but Event Threat Detection requires organization-level activation for any log export.","Event Threat Detection findings can be exported to Cloud Logging at project level, but Container Threat Detection findings require BigQuery for project-level exports.","Continuous exports of findings to Cloud Logging are only available when Security Command Center is activated at the organization level, not the project level.",Both services support continuous exports to Cloud Logging regardless of whether Security Command Center is activated at the project or organization level.,3,"Continuous exports to Cloud Logging are only available when you activate Security Command Center at the organization level. With project-level activations, this capability is not available, requiring alternative integration approaches. Reference: https://cloud.google.com/security-command-center/docs/how-to-use-event-threat-detection"
GCP PSOE,You are performing threat hunting on VPC Flow Logs stored in BigQuery to identify potential lateral movement within your Google Cloud environment. You observe that a single VM has established connections to 47 different internal IP addresses on port 22 within a 10-minute window. What does this pattern most likely indicate?,Normal behavior for a bastion host performing routine administrative connections to managed instances.,SSH-based lateral movement or reconnaissance attempting to identify accessible systems with SSH services.,An automated backup system conducting scheduled SSH-based file transfers across the infrastructure.,A misconfigured application repeatedly attempting to establish connections to a load balancer backend pool.,2,A single host connecting to many internal destinations on port 22 (SSH) within a short timeframe is a classic indicator of either SSH brute-force reconnaissance or lateral movement attempts. Legitimate administrative activity rarely involves simultaneous connections to this many hosts. Reference: https://cloud.google.com/vpc/docs/flow-logs
GCP PSOE,"You are building a Looker Studio security dashboard that visualizes Security Command Center findings from BigQuery. The dashboard will be shared with multiple stakeholders, including executives who do not have direct access to the underlying BigQuery dataset. You need to configure the data source to allow these stakeholders to view the dashboard data securely. Which data credentials configuration should you use?",Configure Viewer's Credentials for the BigQuery data source to ensure each stakeholder sees their own data.,"Configure Owner's Credentials for the BigQuery data source, and share the report with the stakeholders.",Create a separate copy of the dashboard for each stakeholder with embedded data sources.,Export the BigQuery data to Google Sheets and use Sheets as the Looker Studio data source.,2,"Owner's Credentials uses the credentials of the data source owner to authorize access to the dataset. This allows stakeholders to view report data without requiring their own direct access to the BigQuery dataset, which is appropriate when sharing with executives who should see the data but don't need BigQuery permissions. Reference: https://cloud.google.com/looker/docs/studio/data-credentials-article"
GCP PSOE,Your organization has deployed Google Security Operations (SecOps) and wants to create detection rules that match network events against IP addresses from your organization's custom threat intelligence feed. The threat feed is regularly updated with new malicious IP addresses. You want to implement this in the most operationally efficient manner while allowing the list to be updated without modifying the rule itself. What should you do?,Configure the Applied Threat Intelligence (ATI) Fusion Feed to automatically ingest and apply your custom threat intelligence without any YARA-L rules.,"Create a YARA-L rule that references a reference list containing the IP addresses, and update the reference list as new IOCs are identified.",Create a YARA-L rule with hardcoded IP addresses in the events section and create a new rule version each time the threat feed is updated.,Create a SOAR playbook that queries the threat feed API and manually correlates results with each incoming alert.,2,"Reference lists in Google SecOps allow you to maintain a separate list of values (such as IP addresses) that can be referenced by YARA-L rules using the '%' syntax. This approach enables you to update IOC values without modifying the detection rule itself, providing operational efficiency. Reference: https://cloud.google.com/chronicle/docs/detection/yara-l-best-practices"
GCP PSOE,You are designing a security monitoring solution for your organization's Google Cloud environment. You need to track the response time for IAM policy evaluation requests to detect potential denial-of-service conditions or system performance issues. The response time values are recorded in your application logs. Which type of log-based metric should you create?,Create a system log-based metric using the built-in latency tracking available in Cloud Logging.,Create a distribution log-based metric with a value extractor that captures the response time numeric value and configure appropriate histogram buckets.,"Create multiple counter metrics, one for each response time threshold, to track when values exceed specific limits.","Create a counter log-based metric with labels that categorize response times into predefined ranges like fast, medium, and slow.",2,"Distribution metrics record the statistical distribution of extracted numeric values in histogram buckets, including count, mean, and sum of squared deviation. This is ideal for tracking response time metrics where you need to analyze the distribution of values rather than just counting occurrences. Reference: https://cloud.google.com/logging/docs/logs-based-metrics/distribution-metrics"
GCP PSOE,Your organization is configuring Workload Identity Federation to allow an application running on AWS to access Google Cloud Storage without using service account keys. The external workload needs to impersonate a Google Cloud service account to access resources. Which IAM role should you grant to the federated identity on the service account to enable this access pattern?,Grant the Service Account Token Creator role (roles/iam.serviceAccountTokenCreator) on the project to the federated identity.,Grant the Service Account User role (roles/iam.serviceAccountUser) on the service account to the federated identity.,Grant the Service Account Admin role (roles/iam.serviceAccountAdmin) on the service account to the federated identity.,Grant the Workload Identity User role (roles/iam.workloadIdentityUser) on the service account to the federated identity.,4,The Workload Identity User role contains the iam.serviceAccounts.getAccessToken permission required for external identities in a workload identity pool to impersonate a service account and obtain short-lived credentials for accessing Google Cloud resources. Reference: https://cloud.google.com/iam/docs/workload-identity-federation
GCP PSOE,Your organization needs to monitor the latency of a security scanning service endpoint and trigger alerts when response times exceed acceptable thresholds. You want to create an alerting policy that fires only when latency consistently exceeds 5 seconds for at least 3 minutes to avoid alerting on transient spikes. Which configuration should you use?,Configure the uptime check with a 5-second timeout and create an alerting policy on check failures using a 3-minute aggregation period.,Create an alerting policy using the uptime_check/check_passed metric with a content matcher that validates response times under 5 seconds.,Create an alerting policy using the uptime_check/request_latency metric with a threshold of 5 seconds and configure a retest window of 3 minutes.,Use a log-based alerting policy that monitors uptime check logs for entries indicating response times greater than 5 seconds over a 3-minute window.,3,"The uptime_check/request_latency metric measures the response time of uptime checks, and configuring a retest window (duration) of 3 minutes ensures the condition must be met consistently before triggering an alert. This prevents transient spikes from generating false positive alerts. Reference: https://cloud.google.com/monitoring/alerts/concepts-indepth"
GCP PSOE,"Your organization uses Google Security Operations (SecOps) to collect security telemetry from AWS, Azure, and Google Cloud environments. A threat hunter needs to search for potential lateral movement across all cloud environments by correlating authentication events from a specific source IP address observed in AWS CloudTrail with subsequent privileged API calls in Azure and Google Cloud within a 30-minute window. What is the most effective approach?","Run a retrohunt using a YARA-L detection rule filtered to AWS CloudTrail events only, then manually search for related Azure and Google Cloud events.",Export all logs to BigQuery and write SQL queries to join the data from different cloud sources based on IP address correlation.,"Create separate queries for each cloud platform (AWS, Azure, Google Cloud) and manually correlate the results using timestamps and IP addresses in a spreadsheet.",Use UDM Search with a query that filters on principal.ip across all cloud event types and applies a 30-minute time range to identify correlated authentication and privileged API events.,4,"UDM Search allows querying across normalized telemetry from all cloud sources using indexed UDM fields like principal.ip. The Unified Data Model normalizes logs from AWS, Azure, and Google Cloud into a common schema, enabling cross-environment correlation with time-based filtering. Reference: https://cloud.google.com/chronicle/docs/investigation/udm-search"
GCP PSOE,"Detection engineering""You are configuring curated detections in Google Security Operations (SecOps) to identify cloud threats. After enabling a rule set, you notice that the detections are generating too many false positives for specific assets that are used for authorized security testing. You want to reduce false positives without disabling the entire rule set. What should you do?",Configure a SOAR playbook to automatically close alerts from the security testing assets before analysts see them to reduce false positive workload.,Disable alerting for the entire rule set and create a custom YARA-L rule that duplicates the detection logic with exclusions for your testing assets.,Modify the YARA-L source code of the curated detection rules to add 'not' conditions that exclude your security testing assets from evaluation.,Create rule exclusions for the curated detection rule set to exclude events from the authorized security testing assets based on UDM fields like principal.hostname.,4,Rule exclusions in Google SecOps curated detections allow you to define criteria to exclude specific events from being evaluated by a rule set or individual rules. This is the proper mechanism for reducing false positives while maintaining detection coverage for other assets. Reference: https://cloud.google.com/chronicle/docs/detection/use-curated-detections
GCP PSOE,"Your security team has created an Event Threat Detection custom module at the organization level to detect connections to known command and control IP addresses. The module uses the CONFIGURABLE_BAD_IP type. After enabling the module, you notice that no findings are being generated even though test traffic is being sent to the specified IP addresses. Which log source must be enabled for this custom module to function correctly?",Cloud DNS logging must be enabled across the organization.,Cloud Audit Logs Data Access logging must be enabled for all projects.,Firewall Rules Logging must be enabled on all VPC firewall rules.,VPC Flow Logs must be enabled for the networks where the traffic originates.,4,"The Configurable Bad IP custom module requires VPC Flow Logs to detect connections to specified IP addresses. VPC Flow Logs record network traffic metadata including source and destination IPs, which Event Threat Detection analyzes to identify connections to malicious addresses. Without VPC Flow Logs enabled, the custom module has no log data to process. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,You are conducting threat hunting for potential defense evasion techniques in your Google Cloud environment. You want to detect if an attacker has modified logging configurations to hide their activity. Which Cloud Logging query filter would best identify attempts to disable or modify audit log sinks?,logName:'cloudaudit.googleapis.com/data_access' AND protoPayload.methodName:('GetSink' OR 'ListSinks') AND protoPayload.status.code!=0,protoPayload.serviceName='logging.googleapis.com' AND protoPayload.methodName:('DeleteSink' OR 'UpdateSink' OR 'DeleteExclusion' OR 'CreateExclusion'),protoPayload.serviceName='iam.googleapis.com' AND protoPayload.methodName:('DeleteRole' OR 'UpdateRole') AND protoPayload.request.role.includedPermissions:'logging.sinks.delete',protoPayload.serviceName='cloudresourcemanager.googleapis.com' AND protoPayload.methodName='SetIamPolicy' AND protoPayload.request.policy.auditConfigs:*,2,"The logging.googleapis.com service handles log configuration changes, and these specific methods can disable, redirect, or filter out audit logs. Attackers may use these operations to establish persistence while evading detection. Reference: https://cloud.google.com/logging/docs/audit-logging"
GCP PSOE,"Platform operations""Your organization's service accounts have accumulated excessive permissions over time. You need to identify and remove unused permissions while following the principle of least privilege. Which Google Cloud tool should you use to identify unused permissions and receive recommendations for reducing service account privileges?",Policy Analyzer in Cloud Asset Inventory,Security Command Center vulnerability scanner,Cloud Audit Logs Admin Activity logs,IAM Recommender in Policy Intelligence,4,IAM Recommender analyzes actual permission usage over a 90-day observation period and provides recommendations to replace overly permissive roles with more appropriate ones. It can recommend predefined roles or new custom roles that include only the permissions actually used by the service account. Reference: https://cloud.google.com/policy-intelligence/docs/role-recommendations-overview
GCP PSOE,"As a detection engineer, you need to understand your organization's threat coverage gaps and prioritize security tasks against specific adversary tactics and techniques. After a CISA alert about a new ransomware threat, you want to verify if your detection rules cover the specific TTPs mentioned in the advisory. Which Google Security Operations (SecOps) SIEM capability should you use?",Export all detection rules to JSON and manually compare them against the MITRE ATT&CK Navigator tool.,Open the Curated Detections Dashboard and review the MITRE Tactics and Techniques columns for each rule set.,Create a custom dashboard with YARA-L queries filtering detections by MITRE ATT&CK technique metadata fields.,Navigate to Detection > Rules & Detections and use the MITRE ATT&CK Matrix tab to filter by specific technique IDs.,4,"The MITRE ATT&CK matrix dashboard allows you to understand your security posture against the framework, filter by specific technique IDs (like T1059.003), and identify coverage gaps. Each technique card is color-coded to indicate detection coverage status for that technique. Reference: https://cloud.google.com/chronicle/docs/detection/mitre-dashboard"
GCP PSOE,Your organization exports VPC Flow Logs to BigQuery for long-term retention and threat hunting analysis. A threat hunter needs to identify potential command and control (C2) beaconing activity by detecting VM instances that maintain periodic outbound connections to the same external IP address over multiple days. Which fields from VPC Flow Logs in BigQuery are most essential for this analysis?,"GKE cluster name, pod name, and service annotations from the dest_gke_details metadata field to identify which Kubernetes workloads are communicating externally.","source IP (connection.src_ip), destination IP (connection.dest_ip), destination port (connection.dest_port), timestamp, and source VM instance metadata.","bytes_sent, packets_sent, and RTT (round-trip time) fields to measure data transfer volume and connection latency characteristics.","reporter field, gateway object, and DSCP markings to identify traffic direction and network path through Cloud Interconnect or VPN tunnels.",2,"Identifying C2 beaconing requires correlating the internal source VM making connections, the external destination IP being contacted, the port used, and timestamps to detect periodic patterns. Source VM instance metadata enables attribution to specific compromised workloads. These fields constitute the 5-tuple data plus timing needed for behavioral analysis. Reference: https://cloud.google.com/vpc/docs/about-flow-logs-records"
GCP PSOE,"You are designing a forensic investigation playbook that automates evidence collection when a VM compromise is detected. The playbook must copy disk snapshots to an isolated forensics project, maintain chain of custody, and restrict access to authorized investigators only. Which combination of configurations should you implement?","Configure a forensics bucket with soft delete enabled and 90-day recovery window, use Workload Identity Federation for investigator access, and enable VPC Service Controls around the bucket.","Store disk snapshots in the same project as the compromised VM with object versioning enabled, grant Storage Admin role to the incident response team, and enable Admin Activity logs.","Create a dedicated forensics project with a Cloud Storage bucket that has a locked retention policy, configure IAM to grant Storage Object Viewer to forensic investigators only, and enable Cloud Audit Logs for data access.","Create a multi-regional bucket in the production project with Customer-Managed Encryption Keys, grant Storage Object Admin to security team members, and configure Object Lifecycle Management.",3,"This approach isolates evidence in a dedicated project, ensures immutability with locked retention, restricts access using IAM principle of least privilege, and maintains audit trail with data access logs for chain of custody documentation. Reference: https://cloud.google.com/storage/docs/bucket-lock and https://cloud.google.com/logging/docs/audit"
GCP PSOE,Your SOC team is experiencing inefficiency because analysts are frequently investigating duplicate incidents without realizing they are related. You need to configure Google Security Operations (SecOps) SOAR to automatically group related alerts into the same case based on shared entities within a 6-hour window. What should you configure?,Create a playbook that triggers on new alerts and uses the Siemplify > Merge Cases action to combine alerts with matching entities into a single case.,Configure a connector job that queries for alerts with shared entities and creates consolidated cases by deduplicating the alert queue before ingestion.,Navigate to SOAR Settings > Advanced > Alerts Grouping and configure a grouping rule with Group By set to Entities and the Timeframe for grouping alerts set to 6 hours.,Implement a scheduled job in the IDE that runs every 6 hours and uses the Case Federation integration to combine cases with overlapping entity identifiers.,3,The alert grouping mechanism in SOAR Settings > Advanced > Alerts Grouping allows you to create rules that group alerts into cases based on shared entities within a configurable timeframe. Setting Group By to Entities and the timeframe to 6 hours meets the requirement. Reference: https://cloud.google.com/chronicle/docs/soar/investigate/working-with-alerts/alert-grouping-mechanism-admin
GCP PSOE,"After detecting a data exfiltration attempt, you want to prioritize your incident response based on the sensitivity of the potentially exposed data. Sensitive Data Protection has been profiling your BigQuery datasets and sending results to Security Command Center. How should you use this integration to prioritize your investigation?",Export all Security Command Center findings to BigQuery and join with DLP profile data using SQL queries to correlate exfiltration events with sensitivity scores.,"Use Security Command Center to filter exfiltration findings by data sensitivity level, prioritizing findings that target BigQuery tables marked as HIGH sensitivity by DLP data profiles.",Review the Cloud Logging entries for DLP inspection jobs to identify which tables have been recently scanned and contain the highest finding counts.,Run on-demand DLP inspection jobs against all affected BigQuery tables to generate new sensitivity findings after the exfiltration is detected.,2,"DLP's sensitive data discovery service sends sensitivity classifications to Security Command Center, allowing you to filter and prioritize exfiltration findings based on whether they affect datasets containing highly sensitive data. This data-centric approach ensures you focus on the highest-risk incidents first. Reference: https://cloud.google.com/blog/products/identity-security/dlp-sensitive-data-intelligence-now-available-in-scc"
GCP PSOE,Your security team is using the GKE Security Posture dashboard to monitor multiple clusters for threats and misconfigurations. You notice the dashboard shows a 'Top threats' pane summarizing threats grouped by severity and category. What is required to view threat findings in the GKE Security Posture dashboard?,"Configure workload configuration auditing at the Advanced level, which automatically enables threat detection for all registered clusters.",Install the Security Posture agent on each cluster node and configure direct API access to Google Threat Intelligence for threat correlation.,Enable the GKE Enterprise edition and manually configure each cluster to export security findings to a centralized SIEM platform.,"Activate Security Command Center Premium or Enterprise tier, which enables integration with Container Threat Detection and Event Threat Detection findings.",4,The Top threats pane is only visible when Security Command Center Premium or Enterprise tier is activated. This tier enables the built-in threat detection services including Container Threat Detection that generate the threat findings displayed in the GKE Security Posture dashboard. Reference: https://cloud.google.com/kubernetes-engine/docs/concepts/about-security-posture-dashboard
GCP PSOE,Your security team wants to automate threat hunting by triggering Cloud Functions when new indicators of compromise (IOCs) are added to your threat intelligence platform. The function should query Google SecOps for matches against historical logs. You need to design the most reliable and scalable architecture using Pub/Sub push subscriptions. What is a key consideration for this design?,Use pull subscriptions instead of push subscriptions because pull subscriptions provide lower latency for real-time threat hunting automation workflows.,"Configure multiple push subscriptions to the same topic, each pointing to a different Cloud Function region, to ensure global redundancy of the threat hunting workflow.",Enable exactly-once delivery on the push subscription to guarantee that each IOC triggers exactly one threat hunting query without any duplicates.,"Configure the push endpoint to use HTTPS with authentication, and ensure the Cloud Function service account has the necessary permissions to query the Google SecOps Search API.",4,"Pub/Sub push subscriptions deliver events as HTTP POST requests to webhooks, and the endpoint must support HTTPS with proper authentication for security. The Cloud Function needs API permissions to interact with Google SecOps for executing threat hunting queries against historical data. Reference: https://cloud.google.com/pubsub/docs/overview"
GCP PSOE,Your security team received a Security Command Center alert indicating potential BigQuery data exfiltration. The finding shows data was exported to a Cloud Storage bucket outside your organization. You need to investigate the scope of the incident and identify the actor responsible. What is the first investigative step you should take in Logs Explorer?,Query Data Access audit logs filtered by the principal email from the SCC finding and the BigQuery jobs.insert method.,Run a Sensitive Data Protection inspection job on the suspected exfiltrated data to determine sensitivity levels.,Query Admin Activity audit logs filtered by storage.buckets.create operations to identify new external buckets.,Configure a log sink to export all BigQuery logs to a separate project for offline forensic analysis.,1,"Data Access audit logs record data read and write operations, including BigQuery export jobs. Filtering by the principal email from the SCC finding and the jobs.insert method helps identify all BigQuery export operations performed by the suspected actor, establishing the scope of potential exfiltration. Reference: https://cloud.google.com/logging/docs/audit"
GCP PSOE,You are performing threat hunting in Google Security Operations (SecOps) and want to identify domains that are newly observed in your environment with low prevalence. This technique helps detect potentially malicious command-and-control infrastructure that adversaries recently deployed. Which approach best supports this threat hunting objective?,Enable Google Threat Intelligence domain reputation feeds and create alerts for domains with unknown or suspicious reputation scores.,Write a YARA-L detection rule that uses prevalence enrichment fields to filter for domains where rolling_max equals 1 and first_seen_hour is recent.,Create a UDM Search query with aggregate functions to count distinct assets per domain and filter for domains with a count of one asset.,Query the Entity Graph directly using raw log search for domain entities and manually calculate prevalence by counting associated assets.,2,"Google SecOps calculates and enriches each entity with prevalence statistics that indicate popularity in the environment. The rolling_max field shows the maximum prevalence over the previous 10-day window, and combined with first_seen timestamps, enables identification of newly observed low-prevalence domains. Reference: https://cloud.google.com/chronicle/docs/event-processing/data-enrichment"
GCP PSOE,You are investigating suspicious activity where a user appears to have created a new service account key that was then used to access production data. You need to establish the chain of custody by identifying both who created the key and what actions were performed using that key. Which audit log fields should you examine to correlate this activity?,Query Data Access audit logs for the service account and examine protoPayload.request.keyId to identify which key was used for each authenticated request.,"Examine protoPayload.methodName for 'CreateServiceAccountKey' to identify key creation, then use protoPayload.authenticationInfo.serviceAccountKeyName in subsequent logs to trace activities performed with that specific key.","Filter for protoPayload.authenticationInfo.principalEmail matching the service account email to identify all activities, then examine the timestamp to determine the sequence of events.",Use protoPayload.authorizationInfo to see all permissions granted to the service account key and correlate with the creation timestamp in resource.labels.,2,"CreateServiceAccountKey in Admin Activity logs captures who created the key, and the serviceAccountKeyName field in subsequent audit logs identifies the specific key used for authentication, allowing correlation between key creation and subsequent usage. Reference: https://cloud.google.com/iam/docs/audit-logging/examples-service-accounts"
GCP PSOE,You are developing a YARA-L detection rule in Google Security Operations (SecOps) to identify brute force login attempts. The rule needs to detect when a single user experiences more than 10 failed login attempts within a 15-minute window. Which YARA-L rule structure should you use?,Use a multi-event rule with a match section specifying the user over a 15-minute time window and a condition section checking that the count of failed login events is greater than 10.,Use a single-event rule that counts failed logins using a global counter variable incremented for each failed login event detected.,"Create multiple single-event rules, each detecting one failed login, and use composite detections to link them when the same user appears 10 times.","Use a reference list to store user IDs and failed login counts, then query the reference list in your rule condition.",1,Multi-event rules with a match section allow you to correlate events over a specified time window and group them by a common field like user ID. The condition section can then use aggregation functions like count to check thresholds. This is the standard approach for detecting threshold-based behaviors. Reference: https://cloud.google.com/chronicle/docs/detection/yara-l-2-0-overview
GCP PSOE,Your organization uses Security Command Center Enterprise and has integrated with Jira for ticket management. You notice that case priorities in the Security Operations console are not matching the expected urgency based on the findings. You need to understand how case priority is determined to configure proper triage workflows. Which statement correctly describes how Security Command Center Enterprise determines case priority?,Case priority is assigned by the SCC Enterprise - Urgent Posture Findings Connector based on the first finding ingested into the case.,Case priority is calculated by averaging the severity scores of all findings in the case and rounding to the nearest priority level.,"Case priority is based on the highest finding severity among all findings grouped in the case, and it automatically updates when finding severities change.",Case priority must be manually set by security analysts and does not automatically sync with finding severity levels.,3,"In Security Command Center Enterprise, case priority is based on the highest finding severity property among all findings in a case. When finding severity changes, Security Command Center automatically updates the case priority to match the highest severity. Even muted findings can define case priority if they possess the highest severity. Reference: https://cloud.google.com/security-command-center/docs/cases-overview"
GCP PSOE,"Detection engineering""Your organization wants to implement risk-based alerting in Google Security Operations (SecOps) to prioritize investigations for entities exhibiting multiple suspicious behaviors. You need to configure detection rules that contribute to an entity's risk score. Which approach should you use?",Build a reference list containing entity identifiers and their associated risk levels to be used in detection rule conditions.,Use the entity_risk_score field in the events section of YARA-L rules to manually set risk values during event evaluation.,Create a custom entity graph that assigns static risk values to users and assets based on their department and role classifications.,"Configure outcome variables in YARA-L rules to set risk scores, and use Risk Analytics to aggregate scores across findings for each entity.",4,"Risk Analytics calculates risk scores for entities based on the risk scores from detections generated by rules. You can specify risk scores in the outcome section of YARA-L rules, and Risk Analytics aggregates these scores to identify high-risk entities. Reference: https://cloud.google.com/chronicle/docs/detection/risk-analytics-overview"
GCP PSOE,"Data management""Your security team needs to query Cloud Audit Logs in BigQuery for compliance analysis. When configuring the Cloud Logging sink to BigQuery, you want to optimize query performance and control costs for time-range queries spanning multiple days. Which table organization option should you select when creating the sink?","Date-sharded tables, because they automatically create separate tables per day which makes it easier to delete old data and manage retention.","Linked datasets through Log Analytics, because they provide automatic schema management and eliminate the need for partition configuration.","Partitioned tables, because they enable partition pruning which improves query performance and reduces costs when filtering by timestamp.","Clustered tables with clustering on the logName field, because this optimizes queries that filter by specific log types.",3,"Partitioned tables divide data into smaller segments based on timestamp, allowing BigQuery to scan only relevant partitions when filtering by time. This results in better query performance and lower costs compared to date-sharded tables. Reference: https://cloud.google.com/logging/docs/export/bigquery"
GCP PSOE,"Detection engineering""Your security operations team is overwhelmed by Security Command Center findings. Many findings are for development environment resources that have lower security requirements than production. You want to automatically suppress findings from development projects while ensuring they remain available for audit purposes and can be easily unsuppressed if requirements change. What should you do?","Create dynamic mute rules with filters that match findings from development projects, which will automatically mute matching findings while maintaining their audit trail.",Disable Security Health Analytics and Event Threat Detection services for all development projects to prevent findings from being generated.,"Create static mute rules with filters targeting development project findings, which permanently suppress findings until manually unmuted.",Add security marks to all development project assets to exclude them from Security Health Analytics detection policies.,1,"Dynamic mute rules automatically mute both existing and future findings that match your specified filter criteria. Muted findings are hidden from default views but continue to be logged for audit and compliance purposes. Dynamic mute rules can be easily modified or deleted to unsuppress findings when requirements change, and they provide more flexibility than static mute rules. Reference: https://cloud.google.com/security-command-center/docs/how-to-mute-findings"
GCP PSOE,"A threat hunter at your organization wants to use Google Security Operations (SecOps) to detect when entity risk scores suddenly increase, indicating potential compromise. The hunter needs to create an automated detection that triggers when any hostname exceeds a risk score threshold of 100. Which approach should the hunter implement?",Enable curated detections for all Risk Analytics categories and filter alerts in the console.,Configure a scheduled UDM search query that runs daily to check for entities with risk scores above 100.,Write a YARA-L rule that uses the ENTITY_RISK_CHANGE UDM event type to filter for risk_score values greater than or equal to 100.,Create a SOAR playbook that queries the entity graph API every hour to check for high-risk entities.,3,The ENTITY_RISK_CHANGE UDM event type enables you to write YARA-L detection rules that trigger on changes in entity risk scores independently of ingested events. This significantly decreases time to detect and alert on shifting risk levels. Reference: https://cloud.google.com/chronicle/docs/detection/risk-based-alerting
